Timestamp,NodeID,Action,S,W
385333573,749,SEND,0,N/A
385333573,67,RECEIVE,1,N/A
385333573,67,SEND,1,N/A
385333573,27,RECEIVE,1,N/A
385333573,27,SEND,1,N/A
385333573,24,RECEIVE,1,N/A
385333573,24,SEND,1,N/A
385333573,25,RECEIVE,1,N/A
385333573,25,SEND,1,N/A
385333573,24,RECEIVE,2,N/A
385333573,24,SEND,2,N/A
385333573,25,RECEIVE,2,N/A
385333573,25,SEND,2,N/A
385333573,24,RECEIVE,3,N/A
385333573,24,SEND,3,N/A
385333573,25,RECEIVE,3,N/A
385333573,25,SEND,3,N/A
385333573,24,RECEIVE,4,N/A
385333573,24,SEND,4,N/A
385333573,25,RECEIVE,4,N/A
385333573,25,SEND,4,N/A
385333573,24,RECEIVE,5,N/A
385333573,24,SEND,5,N/A
385333573,25,RECEIVE,5,N/A
385333573,25,SEND,5,N/A
385333573,24,RECEIVE,6,N/A
385333573,24,SEND,6,N/A
385333573,25,RECEIVE,6,N/A
385333573,25,SEND,6,N/A
385333573,24,RECEIVE,7,N/A
385333573,24,SEND,7,N/A
385333573,25,RECEIVE,7,N/A
385333573,25,SEND,7,N/A
385333573,24,RECEIVE,8,N/A
385333573,24,SEND,8,N/A
385333573,25,RECEIVE,8,N/A
385333573,25,SEND,8,N/A
385333573,24,RECEIVE,9,N/A
385333573,24,SEND,9,N/A
385333573,25,RECEIVE,9,N/A
385333573,25,SEND,9,N/A
385333573,24,RECEIVE,10,N/A
