Timestamp,NodeID,Action,S,W
384435242,991,RECEIVE,45,N/A
384435242,991,SEND,45,N/A
384435242,990,RECEIVE,46,N/A
384435242,990,SEND,46,N/A
384435242,991,RECEIVE,46,N/A
384435242,991,SEND,46,N/A
384435242,990,RECEIVE,47,N/A
384435242,990,SEND,47,N/A
384435242,991,RECEIVE,47,N/A
384435242,991,SEND,47,N/A
384435242,990,RECEIVE,48,N/A
384435242,990,SEND,48,N/A
384435242,991,RECEIVE,48,N/A
384435242,991,SEND,48,N/A
384435242,990,RECEIVE,49,N/A
384435242,990,SEND,49,N/A
384435242,991,RECEIVE,49,N/A
384435242,991,SEND,49,N/A
384435242,990,RECEIVE,50,N/A
384435242,990,SEND,50,N/A
384435242,991,RECEIVE,50,N/A
384435242,991,SEND,50,N/A
384435242,990,RECEIVE,51,N/A
384435242,990,SEND,51,N/A
384435242,991,RECEIVE,51,N/A
384435242,991,SEND,51,N/A
384435242,990,RECEIVE,52,N/A
384435242,990,SEND,52,N/A
384435242,991,RECEIVE,52,N/A
384435242,991,SEND,52,N/A
384435242,990,RECEIVE,53,N/A
384435242,990,SEND,53,N/A
384435242,991,RECEIVE,53,N/A
384435242,991,SEND,53,N/A
384435242,990,RECEIVE,54,N/A
384435242,990,SEND,54,N/A
384435242,991,RECEIVE,54,N/A
384435242,991,SEND,54,N/A
384435242,990,RECEIVE,55,N/A
384435242,990,SEND,55,N/A
384435242,991,RECEIVE,55,N/A
384435242,991,SEND,55,N/A
384435242,990,RECEIVE,56,N/A
384435242,990,SEND,56,N/A
384435242,991,RECEIVE,56,N/A
384435242,991,SEND,56,N/A
384435242,990,RECEIVE,57,N/A
384435242,990,SEND,57,N/A
384435242,991,RECEIVE,57,N/A
384435242,991,SEND,57,N/A
384435242,990,RECEIVE,58,N/A
384435242,990,SEND,58,N/A
384435242,991,RECEIVE,58,N/A
384435242,991,SEND,58,N/A
384435242,990,RECEIVE,59,N/A
384435242,990,SEND,59,N/A
384435242,991,RECEIVE,59,N/A
384435242,991,SEND,59,N/A
384435242,990,RECEIVE,60,N/A
384435242,990,SEND,60,N/A
384435242,991,RECEIVE,60,N/A
384435242,991,SEND,60,N/A
384435242,990,RECEIVE,61,N/A
384435242,990,SEND,61,N/A
384435242,991,RECEIVE,61,N/A
384435242,991,SEND,61,N/A
384435242,990,RECEIVE,62,N/A
384435242,990,SEND,62,N/A
384435242,991,RECEIVE,62,N/A
384435242,991,SEND,62,N/A
384435242,990,RECEIVE,63,N/A
384435242,990,SEND,63,N/A
384435242,991,RECEIVE,63,N/A
384435242,991,SEND,63,N/A
384435242,990,RECEIVE,64,N/A
384435242,990,SEND,64,N/A
384435242,991,RECEIVE,64,N/A
384435242,991,SEND,64,N/A
384435242,990,RECEIVE,65,N/A
384435242,990,SEND,65,N/A
384435242,991,RECEIVE,65,N/A
384435242,991,SEND,65,N/A
384435242,990,RECEIVE,66,N/A
384435242,990,SEND,66,N/A
384435242,991,RECEIVE,66,N/A
384435242,991,SEND,66,N/A
