Timestamp,NodeID,Action,S,W
385350127,499,SEND,249.5,0.5
385350128,627,RECEIVE,751.75,1.25
385350128,627,SEND,375.875,0.625
385350128,728,RECEIVE,915.938,1.3125
385350128,728,SEND,457.969,0.65625
385350128,778,RECEIVE,1006.98,1.32812
385350128,778,SEND,503.492,0.664062
385350128,811,RECEIVE,1062.75,1.33203
385350128,811,SEND,531.373,0.666016
385350128,827,RECEIVE,1092.69,1.33301
385350128,827,SEND,546.343,0.666504
385350128,838,RECEIVE,1111.17,1.33325
385350128,838,SEND,555.586,0.666626
385350128,852,RECEIVE,1129.79,1.33331
385350128,852,SEND,564.896,0.666656
385350128,859,RECEIVE,1141.45,1.33333
385350128,859,SEND,570.724,0.666664
385350128,864,RECEIVE,1149.36,1.33333
385350128,864,SEND,574.681,0.666666
385350128,868,RECEIVE,1155.34,1.33333
385350128,868,SEND,577.67,0.666667
385350128,874,RECEIVE,1162.84,1.33333
385350128,874,SEND,581.418,0.666667
385350128,878,RECEIVE,1168.71,1.33333
385350128,878,SEND,584.354,0.666667
385350128,880,RECEIVE,1172.18,1.33333
385350128,880,SEND,586.089,0.666667
385350128,881,RECEIVE,1174.04,1.33333
385350128,881,SEND,587.022,0.666667
385350128,882,RECEIVE,1175.51,1.33333
385350128,882,SEND,587.756,0.666667
385350128,881,RECEIVE,880.9,1
385350128,881,SEND,440.45,0.5
385350128,882,RECEIVE,807.981,0.916667
385350128,882,SEND,403.99,0.458333
385350128,881,RECEIVE,642.445,0.729167
385350128,881,SEND,321.223,0.364583
385350128,882,RECEIVE,564.602,0.640625
385350128,882,SEND,282.301,0.320312
385350128,881,RECEIVE,462.373,0.52474
385350128,881,SEND,231.186,0.26237
385350128,882,RECEIVE,397.894,0.451497
385350128,882,SEND,198.947,0.225749
385350128,881,RECEIVE,330.66,0.375244
385350128,881,SEND,165.33,0.187622
385350128,882,RECEIVE,281.612,0.31956
385350128,882,SEND,140.806,0.15978
385350128,881,RECEIVE,235.733,0.267512
385350128,881,SEND,117.866,0.133756
385350128,882,RECEIVE,199.739,0.226658
